channel_id,DAY(first_videos_time),MONTH(first_videos_time),YEAR(first_videos_time),MEAN(videos.view_count),MEAN(videos.dislike_count),MEAN(videos.like_count),MEAN(videos.comment_count),MEAN(videos.q_score),MEAN(videos.likes_rate),MEAN(videos.comments_rate),COUNT(comments),MEAN(comments.likes),SKEW(comments.likes),MEAN(videos.NUM_UNIQUE(comments.username)),MEAN(videos.SKEW(comments.likes)),MIN(comments.likes),NUM_UNIQUE(comments.username)
UCJtEP0GoT7Xndn3LZKrgVxA,15,2,2017,723467.1739,447.4923619,1614.648649,98.33137485,0.520279956,2.637623023,0.216832929,22234,5.742871278,16.42229827,26.89494681,2.032392021,1,15602
UCTZfshAstC5XukpE3OY62Jg,16,2,2017,3364105.101,1715.178988,6453.264591,701.9571984,0.562194258,1.930249146,0.190890574,19135,8.035693755,19.3202906,69.47470817,3.908070158,1,13919
UCM7FTcrsCU2NpQ7ywJ3vemw,18,2,2017,716275.6381,452.2531381,5095.843096,436.667364,0.799760229,7.920865585,0.653448736,35653,8.077188455,13.484128,69.9832636,3.662889463,1,21194
UC7ZcCX4PLJd6VnNVQ4hn1pA,20,2,2017,896110.0771,516.6683805,1668.321337,148.2262211,0.557552329,2.389506959,0.382125619,19190,4.951954143,39.86038182,44.60857909,2.781434505,1,12562
UCZOnKo2JsXRX5AGVLa9Jd9w,15,3,2017,1290621.17,592.9361702,4338.478723,254.7340426,0.745765525,4.34074959,0.440614185,6418,9.744001246,21.27321664,67.13186813,3.861577964,1,5434
UCb7KjBkHa1kUqJYIiZLiBuA,23,3,2017,2907682.311,1482.307018,3443.048246,234.2061404,0.546185746,2.2432253,0.191284814,8609,4.08630503,11.93302837,38.02857143,2.526290746,1,6899
UC0jDoh3tVXCaqJ6oTve8ebA,4,4,2017,9084899.662,4446.625641,100960.9179,4862.851282,0.918225551,13.04510145,0.570937006,77082,34.07499805,22.74495573,382.5846154,9.965458217,1,51659
UCL0xYqqFmvasrNqArWDeN1g,31,8,2019,805688.2609,538.0869565,2353.652174,79.39130435,0.619369339,3.304221209,0.158205871,726,3.123966942,4.216588178,29.34782609,1.815213396,1,644
UC8XkixrRlmF77GG0ogNr5kg,20,11,2019,536247.2941,244.3639706,3362.981618,140.5367647,0.864844359,6.488404444,0.324364532,13707,12.92471,18.50387759,49.05576208,2.630133657,1,9920
UCxa35ypw3h6pezfr3RPhYKg,13,2,2017,113419.7569,74.63194444,548.4375,152.3472222,0.853253803,13.16894127,3.717461837,1079,5.070435589,6.625867859,7.775193798,1.581140573,2,799
UCNyaiKq1S8y3lC4Iktsi6fg,19,2,2017,199486.6904,166.334728,1862.414226,332.1924686,0.84821557,11.98739625,4.341233582,11719,6.197115795,19.7566556,47.62719298,3.23766387,2,6561
UCZE88kYvCKUKjM-G0uc8Duw,21,2,2017,1487818.909,465.5844156,20205.44156,1642.201299,0.955610296,15.72883064,1.254493464,17152,24.46245336,22.777503,107.8181818,6.227279292,2,11602
UCiUr2T6evlGnRWZKf6smOKA,4,12,2017,56403.54367,46.01310044,250.5982533,68.69213974,0.650023083,7.354094313,2.732186483,3608,9.831762749,14.26225239,19.04469274,1.795762824,2,2804
UCOwLNrvzxD9Ak78BYbtetEw,21,3,2018,489542.4003,326.468144,3837.01108,763.8047091,0.859814896,9.860802105,1.916865266,31297,10.22957472,14.59248161,42.21666667,3.413105463,2,15840
UClUMlQD_8cCbof7HxZaXaoQ,15,8,2018,20778.28704,12.48148148,116.6666667,49.30555556,0.67002644,12.48161355,5.050736226,623,7.083467095,5.399021615,13.62790698,1.407513361,2,521
UCzLVNkU53hlIwUA1jspiOug,18,8,2018,41025.02586,44.62931034,239.1637931,117.4137931,0.739310405,14.54087035,8.572428666,1089,16.21763085,6.861387342,15.83333333,1.8916699,2,849
UCZ92wDKMdQaWKzfqoYhJxjQ,27,9,2018,109858.0857,90.74285714,405.0571429,179.5714286,0.621924895,8.965649085,3.063450692,682,15.49560117,15.82905471,38.88235294,2.734909971,2,640
UCd8MtZtV9ucMnRikofxsgpQ,12,11,2018,99346.31053,55.99298246,711.2894737,114.3684211,0.850102582,11.22606336,2.174082876,5487,2.593584837,7.214399198,11.32751092,1.664089864,2,2101
UCDYKovkzJe3oM9MrbIIpeJw,22,1,2019,317446.9061,134.5539906,1345.784038,272.6901408,0.832874584,5.566253661,1.236247302,16408,5.413030229,15.840949,37.01452785,2.520271084,2,6902